combo,lote,Rodada,Duração (s),Energia (kWh),CO2 (g),CO2eq/s (g/s)
pidigits_baseline_clbg_python,1,1,3.2015559089995804,1.5488153189428504e-05,0.0015232288898739145,0.0004757776947115354
pidigits_baseline_clbg_python,1,2,2.970406873000684,1.3597144468623644e-05,0.0013372519642001984,0.0004501915129388709
pidigits_baseline_clbg_python,1,3,3.186502655998993,1.5435626577428895e-05,0.001518063002636977,0.00047640412280185374
pidigits_baseline_clbg_python,1,4,3.19243197600008,1.5566576730363465e-05,0.001530941688277786,0.0004795534250336514
pidigits_baseline_clbg_python,1,5,3.1926485919993866,1.549686100917635e-05,0.0015240852865304757,0.00047737332895006213
pidigits_baseline_clbg_python,1,6,2.962033073001294,1.3429666639413955e-05,0.0013207808546530835,0.0004459034798402154
pidigits_baseline_clbg_python,1,7,3.223080020999987,1.553549788052797e-05,0.0015278851455541647,0.00047404505491617483
pidigits_baseline_clbg_python,1,8,3.3520831109999563,1.6204549494594286e-05,0.001593685033694359,0.0004754312410884553
pidigits_baseline_clbg_python,1,9,2.957341940000333,1.3429188005213509e-05,0.001320733781936738,0.0004465948844375397
pidigits_baseline_clbg_python,1,10,3.3518870570005674,1.6331432310124978e-05,0.0016061637048361717,0.00047918192872329225
pidigits_baseline_clbg_python,1,Total (TE / TEC / TCO2),31.58997120800086,0.00015051469630489553,0.014802819352193868,
pidigits_baseline_clbg_python,1,Média (ME),3.158997120800086,1.5051469630489552e-05,0.0014802819352193867,0.0004680456673441651
pidigits_baseline_clbg_python,2,1,3.3595740380005736,1.6327859688058732e-05,0.0016058123446012003,0.0004779809364037376
pidigits_baseline_clbg_python,2,2,2.9504345069999545,1.347552867609411e-05,0.0013252912942365036,0.000449185125476342
pidigits_baseline_clbg_python,2,3,3.254329919000156,1.5747441705132103e-05,0.001548729396816332,0.0004758980912704007
pidigits_baseline_clbg_python,2,4,2.967404748998888,1.3499237292513684e-05,0.0013276229892441355,0.0004474020571989835
pidigits_baseline_clbg_python,2,5,2.9606758000008995,1.3465861213188207e-05,0.0013243405185946338,0.0004473102116058204
pidigits_baseline_clbg_python,2,6,3.240319348999037,1.5824827951730155e-05,0.0015563401793967575,0.0004803045662389802
pidigits_baseline_clbg_python,2,7,3.1926355219984544,1.5441214583369713e-05,0.0015186125718452445,0.00047566111489439846
pidigits_baseline_clbg_python,2,8,3.215981699000622,1.546856655533389e-05,0.0015213025835839774,0.0004730445400409859
pidigits_baseline_clbg_python,2,9,3.2351356470007886,1.5733076320004922e-05,0.0015473165899198443,0.0004782849187032766
pidigits_baseline_clbg_python,2,10,2.970504238999638,1.3549332290330633e-05,0.001332549732089437,0.00044859378236005923
pidigits_baseline_clbg_python,2,Total (TE / TEC / TCO2),31.346995468999012,0.00014853294627575615,0.014607918200328064,
pidigits_baseline_clbg_python,2,Média (ME),3.1346995468999013,1.4853294627575615e-05,0.0014607918200328063,0.00046536653441929846
pidigits_baseline_clbg_python,3,1,2.966584795000017,1.3534893803922022e-05,0.0013311297358281232,0.00044870779964613
pidigits_baseline_clbg_python,3,2,3.2417529189988272,1.588881878150115e-05,0.0015626335495230754,0.0004820335135244281
pidigits_baseline_clbg_python,3,3,3.230387845998848,1.562456165769264e-05,0.001536644389910756,0.0004756841788561211
pidigits_baseline_clbg_python,3,4,3.2348699690010108,1.5634042422441346e-05,0.0015375768041622617,0.0004753133260058347
pidigits_baseline_clbg_python,3,5,3.1957442889997765,1.542668636972923e-05,0.0015171837510901303,0.0004747512985668161
pidigits_baseline_clbg_python,3,6,3.36739832999956,1.6342637665956158e-05,0.0016072657291714564,0.0004773019321333649
pidigits_baseline_clbg_python,3,7,3.224197211999126,1.555090777354949e-05,0.0015294006777130454,0.0004743508467848213
pidigits_baseline_clbg_python,3,8,2.971659249998993,1.3606172719942344e-05,0.0013381398746608898,0.00045030057691215547
pidigits_baseline_clbg_python,3,9,3.22775947899936,1.5623225178170804e-05,0.0015365129498227425,0.0004760308070721173
pidigits_baseline_clbg_python,3,10,2.964536177998525,1.3550525724957871e-05,0.0013326671039981567,0.0004495364616861895
pidigits_baseline_clbg_python,3,Total (TE / TEC / TCO2),31.624890266994043,0.00015078247209786305,0.014829154565880638,
pidigits_baseline_clbg_python,3,Média (ME),3.1624890266994043,1.5078247209786304e-05,0.0014829154565880638,0.00046840107411879787
